Grupo,Identificacao,Cor,Principal_RGB,Comprimento_Onda_Medio_nm,Desvio_Padrao_nm,Incerteza_Expandida_nm,Erro_Padrao_Media_nm,Min_nm,Max_nm,Range_nm,Intensidade_Media,Intensidade_Desvio_Padrao,Coeficiente_Variacao_Intensidade_%,Intensidade_Min,Intensidade_Max,Num_Detecoes,Taxa_Deteccao_%
39,Grupo 39,Verde,Não,509.1833101362245,1.4357518286200324,0.1421321795765495,0.07251641815130076,506.71713260000007,511.6026611,4.885528499999907,4985.834183673469,290.06721252133025,5.817827104462872,4417.0,5584.0,392,100.0
40,Grupo 40,Verde,Não,514.0694048334184,1.4308438077023358,0.1416463102943143,0.07226852566036443,511.7044983,516.5958862,4.891387899999984,5825.015306122449,231.0167447134806,3.9659422777939795,5377.0,6340.0,392,100.0
42,Grupo 42,Verde,Não,524.1315087568528,1.483902042265944,0.14652549357393208,0.07475790488465922,521.6969604,526.5996094,4.902648999999997,6046.299492385787,165.7196401595228,2.7408440545860575,5667.0,6403.0,394,100.0
43,Grupo 43,Verde,Não,529.2215730375001,1.4375730588947915,0.14088215977168958,0.07187865294473958,526.7017822,531.6098022,4.908019999999965,5282.8825,287.26150389985605,5.437590253045682,4775.0,5908.0,400,100.0
44,Grupo 44,Verde,Não,534.2123382761787,1.4669226199067862,0.14322233626316913,0.07307262054243323,531.7121582,536.6254883,4.913330100000053,4332.6625310173695,253.39119906132737,5.848394543708614,3892.0,4892.0,403,100.0
45,Grupo 45,Verde,Não,539.2436324720102,1.4414802060900347,0.14251759315498277,0.07271305773213407,536.7279053,541.6464844,4.918579099999988,3516.9821882951655,228.0123456832429,6.483181701689834,3101.0,4032.0,393,100.0
46,Grupo 46,Verde,Não,544.1915034303896,1.413666737565972,0.14121237135614054,0.07204712824292885,541.7490234,546.5700073,4.820983899999987,2811.592207792208,176.2864543906405,6.269986589878508,2474.0,3176.0,385,100.0
47,Grupo 47,Verde,Não,549.1599644596447,1.4886488589729057,0.14699421026889023,0.07499704605555624,546.6726074000001,551.6011353,4.928527899999949,2256.1522842639592,162.92064649956913,7.22117241978282,1936.0,2586.0,394,100.0
48,Grupo 48,Verde,Não,554.1657148717742,1.4361118810053455,0.1459395075854372,0.0744589324415496,551.7038574,556.6372070000001,4.933349600000156,1777.502688172043,117.99546564123436,6.638272134630588,1540.0,2020.0,372,100.0
49,Grupo 49,Verde,Não,559.1528747523685,1.465481508642711,0.1473481257183544,0.07517761516242571,556.7399902,561.5750732000001,4.835083000000168,1414.4236842105263,105.78679692323293,7.479144905741508,1204.0,1647.0,380,100.0
50,Grupo 50,Verde,Não,564.2008118111406,1.4733096161919783,0.14872343915586303,0.07587930569176685,561.6780396,566.6205444,4.942504799999938,1111.4164456233423,83.69069221164753,7.530093021496481,948.0,1300.0,377,100.0
51,Grupo 51,Verde,Não,569.136757281711,1.3638096763604517,0.1451810689502125,0.07407197395419005,566.7235718000001,571.5673828,4.84381099999996,876.0058997050147,62.54342841948532,7.13961269445173,740.0,1016.0,339,100.0
52,Grupo 52,Verde,Não,574.1119557834646,1.526951749869394,0.15332709150472307,0.078228107910573,571.6705322,576.6217041000001,4.951171900000077,678.8503937007874,58.868508077457214,8.671794054140936,550.0,858.0,381,100.0
53,Grupo 53,Verde,Não,579.2341225608334,1.4642149957131434,0.1512549761071556,0.0771709061771202,576.7249146000001,581.5770264,4.852111799999875,525.4833333333333,40.05232997579855,7.6219981558181775,428.0,638.0,360,100.0
54,Grupo 54,Vermelho,Não,584.2365517433049,1.4373010479867658,0.1503662106738087,0.0767174544254126,581.6803589,586.6397705000002,4.95941160000018,400.97720797720797,34.4449796326928,8.59025873476846,308.0,487.0,351,100.0
55,Grupo 55,Vermelho,Não,589.0777905849397,1.3052944104428006,0.14040918153031448,0.07163733751546657,586.7431641,591.2927856000001,4.549621500000171,319.0843373493976,27.832344338960525,8.722566757792341,255.0,386.0,332,100.0
56,Grupo 56,Vermelho,Não,593.8656151436314,1.454631922558726,0.14842122181271114,0.07572511316975059,591.706543,596.2596436000001,4.553100600000107,259.9918699186992,26.68806195873855,10.264960195518439,201.0,342.0,369,100.0
57,Grupo 57,Vermelho,Não,599.0036074089635,1.4363236294136978,0.1489958830819964,0.07601830769489612,596.6736450000001,601.6444702000001,4.970825200000036,225.19327731092437,18.512952030423126,8.220916828197447,177.0,279.0,357,100.0
58,Grupo 58,Vermelho,Não,604.1458634846576,1.4950109283262554,0.153374798946274,0.07825244844197654,601.7481079,606.6188354,4.87072749999993,258.3342465753425,36.07665914326095,13.965109009555682,186.0,347.0,365,100.0
59,Grupo 59,Vermelho,Não,609.1848552000001,1.417920713473712,0.1450691231790658,0.0740148587648295,606.7224731,611.5965576,4.874084499999981,503.63487738419616,120.50004051389794,23.926071430905864,301.0,794.0,367,100.0
60,Grupo 60,Vermelho,Não,614.072811755372,1.4509171258481617,0.14926066278484887,0.07615339938002494,611.7003174000001,616.5776367,4.87731929999984,1187.9421487603306,294.7273099862374,24.809904278065915,698.0,1800.0,363,100.0
61,Grupo 61,Vermelho,Não,619.044206162431,1.4383213103810177,0.14816911986929213,0.07559648972923068,616.6813965000001,621.5618286,4.880432099999894,2432.6519337016575,452.0445524571917,18.582376960494127,1662.0,3440.0,362,100.0
62,Grupo 62,Vermelho,Não,624.0268962778975,1.4463947517701183,0.14718242489791047,0.07509307392750535,621.6656494,626.5490723000001,4.8834229000001415,4243.857142857143,605.5279434902161,14.268339463532206,3175.0,5606.0,371,100.0
63,Grupo 63,Vermelho,Não,629.1279807219144,1.5052807124860843,0.14807383175955263,0.07554787334671052,626.6530151,631.6432495,4.990234400000077,6626.392947103274,793.6678545742384,11.97737382781065,5241.0,8333.0,397,100.0
64,Grupo 64,Vermelho,Não,634.1697741153062,1.4271416161061385,0.14127981202470508,0.0720815367472985,631.7471924000001,636.6362915000001,4.889099099999953,9415.798469387755,908.2493842201437,9.646015546881188,7766.0,11378.0,392,100.0
66,Grupo 66,Vermelho,Não,643.9698352394445,1.435103790056972,0.1482477574071244,0.07563661092200225,641.7360840000001,646.6303101,4.894226099999855,11360.841666666667,1080.7725674482797,9.513138191330714,8928.0,12990.0,360,100.0
67,Grupo 67,Vermelho,Não,649.2052556221089,1.4549893005917893,0.1663191304907467,0.08485669922997281,646.734436,651.6310425,4.896606500000075,6279.4455782312925,1402.0431734322929,22.3274993940978,4110.0,8961.0,294,100.0
68,Grupo 68,Vermelho,Não,654.1836282851428,1.4172185690293715,0.1484768971694944,0.07575351896402775,651.7352295,656.6341553,4.898925800000029,2801.382857142857,677.136192505601,24.17149768654668,1728.0,4157.0,350,100.0
69,Grupo 69,Vermelho,Não,659.157631211326,1.450965454684324,0.14947166035131068,0.07626105119964831,656.7383423000001,661.6394043,4.901061999999911,1196.3011049723757,291.362052046482,24.355243912711256,715.0,1788.0,362,100.0
70,Grupo 70,Vermelho,Não,664.1275629699718,1.395269485654061,0.14555489490888857,0.07426270148412682,661.7437134,666.5424805000001,4.798767100000077,541.5269121813031,109.07795370240586,20.142665350283938,357.0,808.0,353,100.0
